field_name,field_desc,primary_key
id,Unique record id generated by Airtable,FALSE
authorship_id,Unique identifier for an authorship,TRUE
institution_id,ROR (Research Organization Registry) ID or other unique identifier for an institution,FALSE
authorship_position,"Position within the list of authors of a research output. Either first, middle, or last",FALSE
authorship_position_number,Numeric position within the list of authors of a research output,FALSE
name,Author name,FALSE
publication,Publication title,FALSE
contributor_id,Automatically generated unique id for a contributor.,FALSE
publication_link,"A persistent identifier in the form of a  URL that resolves to the research output (DOI, ISBN, URN) http://purl.org/dc/terms/identifier",FALSE
resource_type_from_publication,Genre of an output https://vocabularies.coar-repositories.org/resource_types/,FALSE
institution_country_code_from_institution_id,Two letter country code (ISO 3166-1 alpha-2) of an institution,FALSE
publication_date_from_research_outputs,Publication date in YYYY-MM-DD format,FALSE
within_analysis_timeframe_from_publication,Logical value. Was this item published between 01 Jan 2011 to Dec 31 2022,FALSE
cleaned_name,Expanded or removed abbreviated first names,FALSE
created_time,Date and time when the record was generated,FALSE
