id,authorship_id,institution_id,authorship_position,authorship_position_number,name,publication,contributor_id,publication_link,resource_type_from_publication,institution_country_code_from_institution_id,publication_date_from_research_outputs,within_analysis_timeframe_from_publication,cleaned_name,created_time
rec018d2ZTmyRqB49,8523,5e6e3e102d21242f1f18dd6b09874b09,middle,6,fd413ab8964d160b8f0dd0480393034a,1ff0aeff44fcfcb263c997d84c570b0b,2379,a331b5e53c3a8e38dfd6ba56508509c3,"""journal article""",US,2012-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
rec01PVo20B6s3xqQ,6868,96e47e04473236f5e1923bea4d8f50f2,middle,6,219036de2a882eccd48a9175c8cfd99a,28ab9b9900bd525a80d11a85077dd35b,3705,002b3e6e9fe8179c042eb7ad4148f1e6,"""journal article""",US,2014-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
rec023vQxWqzC7MDs,3393,58016528a402cbb2d2f41383f53ceab8,middle,4,9faf1ad2153f43b4b5ca8ee689c1f370,732a42f8b2e0605124bc903e5bdbc879,1897,6241b309d062d44027f3b3a0dd957f3f,"""journal article""",MY,2011-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
rec02Xa4uMYWcZe8c,6751,a1999f2a84702a12a706207066166b4a,middle,14,0f3c0220313684f3fe23a0e03428a287,fbce20eba76ebe6919a4d0c8943cb497,3633,3db5c931b03c9cb001fde3daf2f4e49c,"""journal article""",BD,2014-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
rec02z9VPJtjBN8pk,2409,81d92b9f2f2db715ab61a9d89820c321,middle,8,deba417ff771611be4d395fe09baa0d1,7687da34c58e7123306ca7a3db85e040,1402,4763e3000b6408f5d6b6f4fa29318b23,"""journal article""",NL,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
rec0323KRt56wM3ff,7206,34916100ed45b433ca4bea995f8f779f,middle,13,dbd3cbd5d55d10ea250a2507b5c9df70,1bdabf42c687f9c881238c237be93678,3880,5bde7171f32b210392083bccf6b2443b,"""journal article""",PL,2015-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
rec036yYz356G23S8,7168,359ce1d9666d6413cdacfac29f6ea53f,middle,9,d5376816380ebf1f5d1bd92180b36baf,f6685630b7e5e3c49470d44a942c4ed5,3858,1b56e5dd692c0d492f71ea4addea8ea4,"""journal article""",BO,2012-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
rec03l8SXnoqdBWiC,8917,7dd6261f9f3a6c223e92ab6ae2a4b96b,middle,32,d2acfb7ad48d690c6fe6578d8608ce9a,34d4634968db5f1b6a9baac53a493b72,323,e966b04194d0768362eec090712142e7,"""journal article""",IT,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-10-27T21:50:54Z
rec042qJhnaItCVUE,4857,4f47dbbf288c09d2f5a194439d9cefb1,middle,4,527caa87af4ab25f28d08d4d3a8f8ca0,31df6d3738cf75a538b5ceffb64dcbba,2697,b0572eaf61894bd3acba0a7bbfd77349,"""journal article""",BD,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
rec04HLHAFQXflLDo,8642,2008269a31abba0e8812d4a61e1d2b6e,middle,8,59b3dbefc2652aeae6d3635377d1e7f6,4cc682ca2103e78061cc2db96fe57ad6,2792,98eeb267dc6608bac309897653288d4f,"""journal article""",AU,2017-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
rec04eIXQG9G2d6xM,5502,e09072cfa75e5c3a199652bcfc8fda7f,middle,3,70fd9e530aa10fed26ba6950248eb1cc,9eea67b54a0fc82eb9cc893a24ffc7ab,4053,5ddc4dfdc4ee5a928fe1233c898b9681,"""journal article""",US,2014-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
rec0509BUaTcopTma,9098,7e4ab937ad0ce65b3091335df19d322c,last,5,cd44dd6f0af047dea0b0e4a3eed50a47,ef124acb2c176732c0500924f8415f6d,1983,c35aeff8953f9d9d8a4a05844f2a2c62,"""journal article""",GB,2012-01-01,1,cd44dd6f0af047dea0b0e4a3eed50a47,2023-08-02T15:59:14Z
rec05qOkLPmL4vLz6,1677,750cde5d6816e0bd42c11354d6299a4c,middle,11,fb0cffeb2f282c27e76ca6fb9b2ff514,f6685630b7e5e3c49470d44a942c4ed5,961,1b56e5dd692c0d492f71ea4addea8ea4,"""journal article""",US,2012-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
rec05xifEiKHyc8TB,2221,6557225c4eccb81da3534b94d100119a,middle,3,b0fdc4dcb87fb7ff1cdaf0fb9d9535d3,4e621a7ca6d00ff76dfad81bf8268efc,1290,d809a0fcf06c7c27ac823d34fb0759c7,"""journal article""",US,2014-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
rec06AhxdfnKVtEC9,1772,067c7d67d430f557890937decb85d472,middle,16,2eeb768c3d505670fb56a8c8af7e7e30,c18d767c859ccb60774154ae66c46195,1027,9f90e3b3c5ba8f26f8c5c61b157d47f7,"""preprint""",US,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-07-17T18:42:53Z
rec06cQ8jtWc3yT5U,4798,a1999f2a84702a12a706207066166b4a,first,1,609a4b2f669735653994f3e9178801ad,ba279612dc485f55482aa31e47a08dda,4088,521632e677d6bf22622f6370dbf720d5,"""journal article""",BD,2018-01-01,1,50814b5d0f245b1ae008e38078b12a7b,2023-06-22T18:07:29Z
