id,name,resource_type,identifier,publication_date,source,status,accessibility,country_of_study,keywords,created_time,author_team_size,source_display_name,source_id
rec050ixYbrY2Tfbn,0429ddcea024eadc99eb9294b77a664a,"""journal article""",fb53f8229fbd03f4f9f9530438ffaad0,2021-01-01,OpenAlex,published,open access,"""Bangladesh,Cambodia,Cameroon,China,Cote d'Ivoire,Democratic Republic of the Congo,Egypt,Ethiopia,Ghana,Guinea,India,Indonesia,Jordan,Kenya,Lao People's Democratic Republic,Liberia,Malaysia,Myanmar,Nepal,Republic of the Congo,Rwanda,Senegal,Sierra Leone,Tanzania,Thailand,Uganda,Vietnam""","""""",2023-06-20T22:35:40Z,40,e3ea129caaaaf7c32b3d58b087c49dbb,c7044060e1ae040809feeb6f6c2bad3c
rec0IRDxyEiYbcpxU,bb25fc32962acdf0ab59ecfc42de4caa,"""journal article,editorial""",d6f9f457a2f06e063ac5a1793d382f0a,2015-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:36:54Z,1,7ec7fb9ac37f43261a43418d20b79cc5,d409a223844ce86f86a0dfb26225ced4
rec0PdNiruuqUY8rA,a778a4382b9caafea6700c177fbd55ad,"""journal article""",8a115be70f55f85cfdb3abc116d26ab3,2016-01-01,OpenAlex,published,NA,"""Guatemala""","""""",2023-06-20T22:35:09Z,11,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
rec0Rg2l6Z8CrNXs4,e0ca5aa9dc1db67b2fae216f39b34417,"""journal article""",22dfd93846c11ea5e332e4bb1b4c0d6a,2020-01-01,OpenAlex,published,open access,"""India""","""""",2023-06-20T22:37:25Z,17,b6d242951c770f3179a9383e54de8c37,64f177e865140e4af68855f6f0d91514
rec0W70QEciFAkdMp,4e5ab0c46025718b0d731c991ce39eb8,"""journal article""",a331b5e53c3a8e38dfd6ba56508509c3,2012-01-01,OpenAlex,published,NA,"""United States""","""""",2023-06-20T22:34:17Z,14,91ca51cc035f96d0fe33df8aa5ed64e6,e0acc4fd34ff18d5719a5ad7dbd97a9b
rec0gmYUEWjGwW5Dt,2e4305427ac5e2000a730a6a05d2494c,"""journal article""",c3a2d6896947847f28b933c10f8fc15a,2012-01-01,OpenAlex,published,NA,"""China""","""""",2023-06-20T22:36:22Z,3,d60e1768c633fbe52b1563f477b3c439,8ff65438c29810ae68f8b73977b53d3f
rec0ipcGFIX9dkn2v,3be67664d5109ec10bbfda549cf04dfd,"""journal article""",357390c1546dca35fc1a58535dea42f6,2018-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:35:17Z,2,cedc3eb2487855154caf8c928f5d08fd,ba46efe39082345b005f333f068c2cec
rec0teKEElwG1dVtn,95ada1dabe9a30bb4325e9222da3a796,"""journal article""",6356b9aa3072c75cdd693fe38980e839,2014-01-01,OpenAlex,published,open access,"""Honduras""","""""",2023-06-20T22:36:31Z,3,88c80f0332f5a793cc5b594c3c15fe32,78485c7069a7864f1fc6bc7be53e20dc
rec1BTGr7qTak5CMS,07d77f4d98c7103de2c342b4c2a30d9c,"""journal article""",554f154b245bbccd306609e894fa473a,2022-01-01,OpenAlex,published,open access,"""Bangladesh""","""""",2023-06-20T22:36:39Z,8,25abe1501c7eb4b1028c8b75d904d5fa,ce1a78153f4ec9ad210ea2cd6a0990cb
rec1NIvb8sVsx1PuU,cc538e03941c53384d5f22592ea03dbf,"""journal article""",25e93ddacc0fadc987e2af03b99fa14a,2013-01-01,OpenAlex,published,open access,"""Philippines""","""""",2023-06-20T22:35:29Z,14,4f14ace3b4e001cf4f133142b81c618f,999a1f22c227c5885244eb93226e05e6
rec1NM2BS1xJvEfKH,f54771953f36a2596b08b7e642303891,"""journal article""",c86568769a701df58aaffee3e448a95c,2015-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:35:09Z,7,03837e5981582ec437c101f002599641,c8f6ff3f134b7dfa2557323af6d5516a
rec1VukubNhtuRaum,265701123de83822c1cb85298f2420ea,"""journal article""",ce7191c53c042a13eddd94b3cbc419e1,2018-01-01,OpenAlex,published,open access,"""South Africa""","""""",2023-06-20T22:35:24Z,6,7e654126d58971044d8e091502dab93a,a3a25e80a135b08a057af4e23432d65a
rec1WJdXFLeKmMI09,457b5641a3bfca21d4cf80cdd2c48159,"""journal article""",9743eb342c37856749eb425dfa951740,2019-01-01,OpenAlex,published,NA,"""South Africa,Angola,Burundi,Cameroon,Republic of the Congo,Cote d'Ivoire,Ethiopia,Ghana,Kenya,Malawi,Mozambique,Nigeria,Uganda,Central African Republic,Democratic Republic of the Congo,Sudan,Tanzania,Zambia,Zimbabwe""","""""",2023-06-20T22:37:22Z,3,4e5924fe44cfec7520e7d02c5cb82686,5a98ab0273461d20a229ec2d4125765f
rec1e9L0D4bQwsM8I,1ad316f19e0112009e1f49bb8d608e79,"""journal article""",59a34354469163ac06fa5db96117f896,2017-01-01,OpenAlex,published,NA,"""Australia""","""""",2023-06-20T22:36:54Z,5,c09ee5a9aa1a7df55e0cbd937d3ac216,832f7bd327c685aeabc095736bb53c3c
rec21l7JcAMAcAXkf,057046159f93534118c4984b520c9c8d,"""journal article""",b00e061c85484a395cfbb2475c46f804,2011-01-01,OpenAlex,published,NA,"""United States""","""""",2023-06-20T22:34:42Z,5,1519627e5646371f62b665b55f41ca40,6b2fcb4b0006df99a2328be70e89bf4b
rec26VrIo06ZTnPXg,9517c9a745238f93ff3f07051566f669,"""journal article""",2a051a40a5db12a3c5ac332b0f9e05ed,2019-01-01,OpenAlex,published,open access,"""Guinea""","""""",2023-06-20T22:35:42Z,11,7e654126d58971044d8e091502dab93a,a3a25e80a135b08a057af4e23432d65a
rec2Ka548hvZoDDJy,ca83e9243a1511dab8aae455ab60fc29,"""journal article""",93cf26b9f9576692e9e9f1b3557862e4,2015-01-01,OpenAlex,published,NA,"""Australia""","""""",2023-06-20T22:35:55Z,5,d9664afca8c1dbc7fc98ef4086a00b4c,5d20e82bbaf649f5c839610c3f454c9b
rec2ZdWiR2NWMGDKF,5dd4c627117191bb645cc3d2e304fba3,"""journal article""",8d9069b4e55e5e1dba97b711eed82989,2020-01-01,OpenAlex,published,NA,"""Canada""","""""",2023-06-20T22:36:06Z,4,dcd8f83060129275a8775d445a0f8320,2af59a90208ae2d35640ed5c69bb3928
