field_name,field_desc,primary_key
id,Unique record id generated by Airtable,FALSE
name,Name of research output,TRUE
resource_type,"Genre of an output. With the exception of peer reviewed letters which we reclassified as a journal articles, we used the following terms: https://vocabularies.coar-repositories.org/resource_types/",FALSE
identifier,"A persistent identifier in the form of a  URI that resolves to the research output (DOI, ISBN, URN) http://purl.org/dc/terms/identifier",FALSE
publication_date,Date resource became available to target audience,FALSE
source,Where was the material retrieved from?,FALSE
status,Sharing status for the output,FALSE
accessibility,access status of a resource https://vocabularies.coar-repositories.org/access_rights/,FALSE
country_of_study,Country where study took place. Name is written in long form.,FALSE
keywords,tags to quickly identify and categorize the work. Preference for MeSH terms:  https://www.ncbi.nlm.nih.gov/mesh,FALSE
created_time,Date and time when the record was generated,FALSE
author_team_size,Number of authors listed on publication,FALSE
source_display_name,Plain language name of a journal or other publication source e.g. Nature,FALSE
source_id,OpenAlex unique identifier for a journal or publication source,FALSE
