field_name,table_name,field_desc,field_type,primary_key
authorship_contributors_check,Publications,Checks for discrepancies between the number of contributors and the number of authorship items,number,FALSE
identifier,Publications,"A persistent identifier in the form of a  URI that resolves to the research output (DOI, ISBN, URN) http://purl.org/dc/terms/identifier",url,FALSE
source,Publications,Where was the material retrieved from?,singleSelect,FALSE
authorship,Publications,Fits into one of 14 roles in the CREDIT Taxonomy. https://credit.niso.org/,singleLineText,FALSE
cleaned_name,Authorship,Expanded or removed abbreviated first names,singleLineText,FALSE
institution_country_code_from_institution_id_from_authorship,Contributors,Iso2 country abbreviation,singleLineText,FALSE
p_gf,Contributors,Probability from 0-1 gendered female based on name; generated by nomquamgender.,number,FALSE
contributor_id,Authorship,Automatically generated unique id for a contributor.,singleLineText,FALSE
open_alex_id,Contributors,Identifier provided by open alex for a contributor.,singleLineText,FALSE
publication,Authorship,Publication title,singleLineText,FALSE
data_management_plan_id_from_project,Publications,Persistent Identifier for the data management plan for a given project ,singleLineText,FALSE
nqg_classification,Contributors,gender classification of contributor based on p_gf value generated by nomquamgender algorithm.,singleLineText,FALSE
authorship_id,Authorship,Unique identifier for an authorship,number,TRUE
created,Description,http://purl.org/dc/terms/created,singleLineText,FALSE
resource_type_from_publication,Authorship,Genre of an output https://vocabularies.coar-repositories.org/resource_types/ ,multipleSelects,FALSE
orcid,Contributors,Unique identifier provided by Open Researcher and Contributor ID (ORCID) for a contributor. ,singleLineText,FALSE
resource_type_from_research_outputs,Contributors,"Genre of an output. With the exception of peer reviewed letters which we reclassified as a journal articles, we used the following terms: https://vocabularies.coar-repositories.org/resource_types/ ",multipleSelects,FALSE
creator,Description,http://purl.org/dc/terms/creator,singleLineText,FALSE
recommended_staff_for_follow_up,Contributors,Individual at EcoHealth who may know the contributor's gender.,multipleSelects,FALSE
publication_date,Publications,Date resource became available to target audience,date,FALSE
institution_country_code_from_institution_id,Authorship,Two letter country code (ISO 3166-1 alpha-2) of an institution,singleLineText,FALSE
sources_used,Contributors,Sources used for manually determining pronouns of researcher,multipleSelects,FALSE
pronouns,Contributors,"Pronouns used by the author to describe themselves, or used by others to describe the author",multipleSelects,FALSE
identifier,Description,http://purl.org/dc/terms/identifier,singleLineText,FALSE
title,Description,http://purl.org/dc/terms/title,singleLineText,TRUE
country_of_study,Publications,Country where study took place. Name is written in long form.,multipleSelects,FALSE
accessibility,Publications,access status of a resource https://vocabularies.coar-repositories.org/access_rights/,singleSelect,FALSE
institution_display_name_from_institution_id_from_authorship,Contributors,Name of institution,singleLineText,FALSE
institution_id,Institution,ROR (Research Organization Registry) ID or randomly generated identifier for an organization,singleLineText,TRUE
contributor,Description,http://purl.org/dc/terms/contributor,singleLineText,FALSE
id,Contributors,Automatically generated unique id for a contributor.,number,TRUE
name,Authorship,Author name,singleLineText,FALSE
